country_code,year,control_of_corruption,government_effectiveness,political_stability_and_absence_of_violence/terrorism,regulatory_quality,rule_of_law,voice_and_accountability
AUS,2023,1.78120493888855,1.58987963199615,0.91705721616745,1.94220554828644,1.52318394184113,1.50660192966461
BEL,2023,1.3368444442749,1.03702199459076,0.403853088617325,1.16822481155396,1.29537487030029,1.32572901248932
BRA,2023,-0.503643155097961,-0.546764314174652,-0.408567786216736,-0.29647821187973,-0.308802843093872,0.382853865623474
CAN,2023,1.67150104045868,1.51680326461792,0.822420537471771,1.64471042156219,1.47300565242767,1.4796462059021
CHN,2023,-0.0053701046854257,0.679014027118683,-0.513097047805786,-0.356507807970047,-0.0401299707591534,-1.50455415248871
FIN,2023,2.22151660919189,1.73860657215118,0.713986694812775,1.76514935493469,1.96704590320587,1.63263607025146
FRA,2023,1.18482184410095,1.14462625980377,0.343697965145111,1.15350544452667,1.18057084083557,1.15460133552551
DEU,2023,1.66416621208191,1.18541669845581,0.586989283561707,1.45697498321533,1.55120778083801,1.46138572692871
HKG,2023,1.62514543533325,1.55483567714691,0.673060536384583,1.60433173179626,1.29364585876465,-0.320146769285202
IND,2023,-0.366014748811722,0.47511014342308,-0.635076940059662,-0.136969581246376,0.188364565372467,0.0944044888019562
IDN,2023,-0.48687219619751,0.58032637834549,-0.404375314712524,0.301378756761551,-0.153604462742805,0.138982817530632
JPN,2023,1.3956606388092,1.63126504421234,0.951136231422424,1.46932590007782,1.53553938865662,1.10550534725189
MYS,2023,0.295621365308762,0.875369668006897,0.16851469874382,0.660894274711609,0.571915447711945,0.0876194089651108
MEX,2023,-1.02057874202728,-0.198361441493034,-0.630761027336121,-0.171988308429718,-0.806393921375275,-0.115086063742638
NLD,2023,1.86710047721863,1.62553191184998,0.658281981945038,1.79096639156342,1.64250445365906,1.55626440048218
SGP,2023,2.04018402099609,2.31747198104858,1.42420423030853,2.30859136581421,1.75317537784576,-0.0654119327664375
THA,2023,-0.489050775766373,0.171705812215805,-0.280302882194519,0.158257782459259,0.244872748851776,-0.450371354818344
ARE,2023,1.07366383075714,1.60428190231323,0.677530944347382,1.04239141941071,0.881900131702423,-1.0949410200119
GBR,2023,1.48091387748718,1.16114270687103,0.514935672283173,1.53656673431396,1.39836597442627,1.26162397861481
USA,2023,1.12343263626099,1.21720099449158,0.029424749314785,1.39373278617859,1.3276778459549,0.877519071102142
